"ano do óbito";"< 1 ANO";"1 a 4";"5 a 9";"10 a 14";"15 a 19";"20 a 24";"25 a 29";"30 a 34";"35 a 39";"40 a 44";"45 a 49";"50 a 54";"55 a 59";"60 a 64";"65 a 69";"70 a 74";"75 a 79";"80 e +";"Ignorado";"Total"
"2000";1501;226;108;138;363;586;481;502;649;776;892;1025;1025;1119;1241;1267;1193;2282;981;16355
"2001";1538;261;120;144;431;566;539;574;714;779;911;1103;1125;1262;1346;1416;1296;2588;1060;17773
"2002";1473;220;129;133;440;672;597;578;639;828;963;1169;1153;1328;1351;1440;1495;2870;949;18427
"2003";1364;223;97;112;397;659;605;576;597;795;983;1057;1102;1198;1300;1437;1368;2711;1016;17597
"2004";1235;204;111;127;393;630;554;512;566;763;961;1119;1180;1240;1367;1478;1437;2905;928;17710
"2005";1259;180;134;132;447;741;700;601;678;837;1098;1226;1235;1303;1444;1518;1497;2963;937;18930
"2006";1266;207;108;134;467;785;753;651;675;841;1139;1198;1358;1350;1505;1541;1540;3148;989;19655
"2007";1160;170;108;138;532;874;915;680;693;909;1077;1244;1428;1360;1531;1571;1591;3253;959;20193
"2008";1066;170;115;170;647;1099;1027;734;736;867;1098;1237;1331;1525;1565;1524;1591;3350;950;20802
"2009";1097;185;114;147;810;1136;994;760;760;878;1114;1346;1509;1517;1567;1643;1644;3455;979;21655
"2010";1063;160;89;170;779;1003;975;853;728;842;1113;1388;1494;1523;1592;1803;1700;3852;950;22077
"2011";1000;144;103;144;720;924;836;881;774;820;1165;1391;1484;1616;1642;1771;1665;4110;945;22135
"2012";1012;139;91;138;851;940;919;861;740;876;1145;1400;1480;1650;1675;1707;1732;4073;939;22368
"2013";1058;144;66;143;737;800;826;832;714;847;1060;1374;1603;1717;1665;1730;1743;4237;898;22194
"2014";977;152;71;123;696;859;834;818;761;813;1033;1420;1629;1758;1852;1829;1843;4545;864;22877
"2015";918;116;71;121;676;922;742;731;822;798;1029;1379;1652;1866;1862;1779;1970;4773;942;23169
"2016";918;133;66;98;716;951;705;779;806;787;998;1283;1694;1776;1843;1725;1767;4447;809;22301
"2017";895;116;69;111;745;1010;726;771;795;859;1012;1299;1670;1937;1978;1947;1916;5087;791;23734
"2018";981;109;45;96;646;908;632;643;743;821;949;1210;1581;1871;2041;1907;1975;4767;776;22701
"2019";908;120;81;83;534;795;610;595;784;851;925;1324;1669;2034;2174;2044;2151;5430;645;23757
